t_sec,frame_idx,imu_enabled,drive_enabled,learn_enabled,error,deriv,lane_center_x,rows_seen,line_lost,gyro_z,accel_x,accel_y,steer,speed,lm,rm,learner_state,learner_action,reward
22.5573,226,1,1,0,-0.0007,-0.0007,149,4,0,-4.184,-12388,-2992,-0.0004,0.21,0.2096,0.2104,,,
22.6564,227,1,1,0,-0.0157,-0.0157,147,4,0,-24.497,-19304,-3188,-0.0057,0.2094,0.2037,0.2151,,,
22.757,228,1,1,0,-0.0593,-0.0593,141,4,0,0.076,-13616,-1496,-0.0062,0.2093,0.2031,0.2156,,,
22.8591,229,1,1,0,-0.0547,-0.0547,141,4,0,6.503,-12752,-248,-0.0223,0.2077,0.1854,0.2299,,,
22.9556,230,1,1,0,-0.0202,-0.0202,146,4,0,12.954,-12980,1572,-0.019,0.208,0.189,0.227,,,
23.0559,231,1,1,0,0.04,0.04,156,4,0,16.793,-12380,-1116,-0.0044,0.2095,0.2052,0.2139,,,
23.1567,232,1,1,0,0.0787,0.0787,161,4,0,-12.619,-14384,-1772,0.0132,0.2086,0.2218,0.1954,,,
23.2581,233,1,1,0,0.0849,0.0849,162,4,0,-8.405,-10784,-1324,0.0296,0.2069,0.2365,0.1773,,,
23.3617,234,1,1,0,0.0458,0.0458,156,4,0,-18.932,-11952,-840,0.0297,0.2069,0.2366,0.1771,,,
23.4571,235,1,1,0,0.0031,0.0031,150,4,0,-8.665,-15356,-920,0.0164,0.2083,0.2247,0.1919,,,
23.5546,236,1,1,0,-0.0339,-0.0339,144,4,0,-12.123,-14420,-1172,-0.0014,0.2098,0.2084,0.2113,,,
23.6691,237,1,1,0,-0.0622,-0.0622,140,4,0,7.435,-14148,1180,-0.0119,0.2088,0.1968,0.2207,,,
23.7577,238,1,1,0,-0.0442,-0.0442,143,4,0,10.786,-13884,-2944,-0.0225,0.2076,0.1851,0.2301,,,
23.8572,239,1,1,0,0.0021,0.0021,150,4,0,7.145,-14356,-284,-0.015,0.2084,0.1934,0.2234,,,
23.959,240,1,1,0,0.0371,0.0371,155,4,0,3.679,-13680,-768,0.0017,0.2098,0.2115,0.2082,,,
24.0546,241,1,1,0,0.0438,0.0438,156,4,0,-5.825,-15776,-5248,0.0136,0.2086,0.2221,0.195,,,
24.1575,242,1,1,0,0.0289,0.0289,154,4,0,-4.512,-12496,1340,0.0165,0.2083,0.2248,0.1918,,,
24.2568,243,1,1,0,-0.0036,-0.0036,149,4,0,-14.214,-11376,-1104,0.0084,0.2091,0.2175,0.2007,,,
24.3552,244,1,1,0,-0.0354,-0.0354,144,4,0,-8.214,-13732,-1176,-0.0032,0.2097,0.2064,0.2129,,,
24.4565,245,1,1,0,-0.0396,-0.0396,144,4,0,-2.252,-13120,-736,-0.0147,0.2085,0.1938,0.2231,,,
24.5587,246,1,1,0,-0.0282,-0.0282,145,4,0,3.313,-10148,124,-0.0151,0.2084,0.1933,0.2235,,,
24.656,247,1,1,0,-0.0216,-0.0216,146,4,0,4.427,-12348,392,-0.0103,0.2089,0.1986,0.2192,,,
24.7604,248,1,1,0,-0.0143,-0.0143,147,4,0,9.251,-13884,-1320,-0.0066,0.2093,0.2027,0.2159,,,
