t_sec,frame_idx,imu_enabled,drive_enabled,learn_enabled,error,deriv,lane_center_x,rows_seen,line_lost,gyro_z,accel_x,accel_y,steer,speed,lm,rm,learner_state,learner_action,reward
2.0088,21,1,1,0,-0.0133,-0.0133,148,4,0,-2.168,-12240,-3320,-0.0052,0.2095,0.2043,0.2146,,,
2.1071,22,1,1,0,-0.0067,-0.0067,149,4,0,-1.023,-12936,2316,-0.0056,0.2094,0.2039,0.215,,,
2.2066,23,1,1,0,0.0041,0.0041,150,4,0,0.358,-11840,172,-0.0026,0.2097,0.2071,0.2123,,,
2.307,24,1,1,0,0.0067,0.0067,151,4,0,-0.176,-13444,-1392,0.0016,0.2098,0.2114,0.2082,,,
2.4062,25,1,1,0,-0.002,-0.002,149,4,0,-7.855,-16432,-1868,0.0009,0.2099,0.2108,0.209,,,
2.5071,26,1,1,0,-0.0066,-0.0066,149,4,0,-8.657,-16116,-1052,-0.0027,0.2097,0.207,0.2124,,,
2.6091,27,1,1,0,-0.0199,-0.0199,147,4,0,0.068,-13492,-708,-0.0026,0.2097,0.2071,0.2123,,,
2.7072,28,1,1,0,-0.0266,-0.0266,146,4,0,-2.985,-15184,-1100,-0.0086,0.2091,0.2005,0.2177,,,
2.8093,29,1,1,0,-0.0301,-0.0301,145,4,0,0.274,-15612,-256,-0.0106,0.2089,0.1983,0.2195,,,
2.9094,30,1,1,0,-0.0266,-0.0266,146,4,0,-2.359,-11044,968,-0.0126,0.2087,0.1961,0.2212,,,
3.0066,31,1,1,0,-0.0169,-0.0169,147,4,0,-2.947,-8812,-164,-0.0113,0.2088,0.1975,0.2201,,,
3.1116,32,1,1,0,-0.0102,-0.0102,148,4,0,5.671,-14232,48,-0.0055,0.2094,0.2039,0.2149,,,
3.2076,33,1,1,0,-0.0087,-0.0087,148,4,0,0.351,-10160,-5644,-0.004,0.2096,0.2056,0.2136,,,
3.3063,34,1,1,0,0.0,0.0,150,4,0,5.61,-14876,-464,-0.0022,0.2098,0.2075,0.212,,,
3.4107,35,1,1,0,0.0057,0.0057,150,4,0,4.435,-12760,932,0.001,0.2099,0.2109,0.2089,,,
3.506,36,1,1,0,0.0067,0.0067,151,4,0,-4.626,-12764,276,0.0012,0.2099,0.2111,0.2086,,,
3.608,37,1,1,0,0.0026,0.0026,150,4,0,-3.115,-14032,104,0.002,0.2098,0.2118,0.2078,,,
3.7073,38,1,1,0,0.0067,0.0067,151,4,0,-1.214,-14576,1224,0.0008,0.2099,0.2107,0.2092,,,
3.808,39,1,1,0,0.0067,0.0067,151,4,0,0.877,-16508,-2844,0.0029,0.2097,0.2126,0.2068,,,
3.907,40,1,1,0,0.0067,0.0067,151,4,0,0.503,-13760,-1844,0.0028,0.2097,0.2125,0.2069,,,
4.0085,41,1,1,0,0.0031,0.0031,150,4,0,-0.718,-13712,-1744,0.0025,0.2097,0.2122,0.2072,,,
4.1093,42,1,1,0,0.0057,0.0057,150,4,0,-0.604,-14776,-1592,0.0011,0.2099,0.211,0.2088,,,
4.2069,43,1,1,0,0.003,0.003,150,4,0,-6.634,-12100,-1388,0.0008,0.2099,0.2107,0.2091,,,
4.3084,44,1,1,0,0.0013,0.0013,150,4,0,5.786,-9188,396,0.0025,0.2097,0.2122,0.2073,,,
4.4071,45,1,1,0,0.0084,0.0084,151,4,0,-5.306,-11480,-2172,-0.0006,0.2099,0.2093,0.2106,,,
4.5069,46,1,1,0,0.0217,0.0217,153,4,0,-10.443,-7908,3084,0.0011,0.2099,0.2109,0.2088,,,
4.6085,47,1,1,0,0.038,0.038,155,4,0,-6.359,-14488,-428,0.0073,0.2092,0.2165,0.202,,,
4.7066,48,1,1,0,0.0522,0.0522,157,4,0,-10.573,-10796,1472,0.0129,0.2087,0.2215,0.1958,,,
4.8067,49,1,1,0,0.0676,0.0676,160,4,0,-7.672,-10336,-1564,0.0192,0.208,0.2272,0.1888,,,
4.9093,50,1,1,0,0.0778,0.0778,161,4,0,-15.168,-10944,1784,0.0237,0.2075,0.2312,0.1839,,,
5.0163,51,1,1,0,0.0818,0.0818,162,4,0,-16.863,-15480,-1448,0.0274,0.2071,0.2345,0.1798,,,
5.1082,52,1,1,0,0.0786,0.0786,161,4,0,-12.107,-14400,656,0.03,0.2068,0.2369,0.1768,,,
5.2058,53,1,1,0,0.0819,0.0819,162,4,0,-19.924,-12888,-576,0.027,0.2072,0.2342,0.1802,,,
5.3079,54,1,1,0,0.0927,0.0927,163,4,0,-20.932,-14220,-2860,0.0283,0.207,0.2353,0.1787,,,
5.4083,55,1,1,0,0.1127,0.1127,166,4,0,-19.321,-13484,552,0.0328,0.2066,0.2393,0.1738,,,
5.5097,56,1,1,0,0.124,0.124,168,4,0,-18.13,-14524,-344,0.041,0.2057,0.2467,0.1647,,,
5.6085,57,1,1,0,0.1224,0.1224,168,4,0,-23.695,-10816,484,0.0443,0.2053,0.2497,0.161,,,
5.7096,58,1,1,0,0.1014,0.1014,165,4,0,-31.611,-14612,-704,0.042,0.2056,0.2475,0.1636,,,
5.8079,59,1,1,0,0.0908,0.0908,163,4,0,-23.535,-13504,-696,0.0353,0.2063,0.2416,0.1709,,,
5.9092,60,1,1,0,0.0878,0.0878,163,4,0,-23.123,-11232,-2492,0.0312,0.2067,0.2379,0.1756,,,
6.0072,61,1,1,0,0.0862,0.0862,162,4,0,-27.978,-11696,-1620,0.0289,0.207,0.2359,0.1781,,,
6.1106,62,1,1,0,0.0956,0.0956,164,4,0,-22.481,-12152,-1168,0.0295,0.2069,0.2364,0.1774,,,
6.2069,63,1,1,0,0.0869,0.0869,163,4,0,-22.947,-15956,-1984,0.0331,0.2065,0.2396,0.1734,,,
6.3103,64,1,1,0,0.0802,0.0802,162,4,0,-24.069,-11472,-4540,0.0294,0.2069,0.2363,0.1775,,,
6.4067,65,1,1,0,0.069,0.069,160,4,0,-15.359,-10308,-2572,0.0287,0.207,0.2357,0.1783,,,
6.5098,66,1,1,0,0.0568,0.0568,158,4,0,-18.222,-12144,-1104,0.0236,0.2075,0.2311,0.184,,,
6.6083,67,1,1,0,0.0522,0.0522,157,4,0,-12.527,-13700,-876,0.0199,0.2079,0.2278,0.188,,,
6.7147,68,1,1,0,0.0562,0.0562,158,4,0,-10.13,-14000,1544,0.0186,0.208,0.2267,0.1894,,,
6.8066,69,1,1,0,0.0658,0.0658,159,4,0,-10.489,-14420,824,0.0202,0.2079,0.228,0.1877,,,
6.9091,70,1,1,0,0.0759,0.0759,161,4,0,-18.458,-13692,-532,0.0222,0.2077,0.2299,0.1855,,,
7.0065,71,1,1,0,0.0887,0.0887,163,4,0,-14.749,-13952,-1712,0.0271,0.2072,0.2342,0.1801,,,
7.1098,72,1,1,0,0.0994,0.0994,164,4,0,-17.916,-11652,-1976,0.0315,0.2067,0.2382,0.1752,,,
7.2081,73,1,1,0,0.1016,0.1016,165,4,0,-22.939,-12564,1948,0.0347,0.2064,0.241,0.1717,,,
7.3057,74,1,1,0,0.0974,0.0974,164,4,0,-17.802,-15052,2876,0.0367,0.2062,0.2428,0.1695,,,
7.409,75,1,1,0,0.0939,0.0939,164,4,0,-24.359,-12216,3508,0.0336,0.2065,0.24,0.1729,,,
7.5085,76,1,1,0,0.0948,0.0948,164,4,0,-15.268,-12728,-1696,0.0342,0.2064,0.2406,0.1723,,,
7.608,77,1,1,0,0.1033,0.1033,165,4,0,-17.138,-14720,516,0.0341,0.2064,0.2405,0.1723,,,
7.7072,78,1,1,0,0.1089,0.1089,166,4,0,-32.382,-16020,724,0.0341,0.2064,0.2406,0.1723,,,
7.8083,79,1,1,0,0.1069,0.1069,166,4,0,-26.52,-15676,2048,0.0377,0.206,0.2437,0.1684,,,
7.9118,80,1,1,0,0.1003,0.1003,165,4,0,-16.275,-9992,-2588,0.0391,0.2059,0.245,0.1668,,,
8.0061,81,1,1,0,0.0983,0.0983,164,4,0,-16.245,-12160,-1632,0.0361,0.2062,0.2423,0.1701,,,
8.1101,82,1,1,0,0.0881,0.0881,163,4,0,-24.97,-12472,-4928,0.0338,0.2065,0.2402,0.1727,,,
8.2084,83,1,1,0,0.085,0.085,162,4,0,-16.229,-13528,596,0.0316,0.2067,0.2383,0.175,,,
8.3074,84,1,1,0,0.0732,0.0732,160,4,0,-24.894,-14372,32,0.0285,0.207,0.2355,0.1785,,,
8.4093,85,1,1,0,0.0672,0.0672,160,4,0,-19.703,-13588,-748,0.0249,0.2074,0.2323,0.1825,,,
8.5068,86,1,1,0,0.0694,0.0694,160,4,0,-18.512,-11832,-3020,0.0228,0.2076,0.2304,0.1848,,,
8.6087,87,1,1,0,0.0742,0.0742,161,4,0,-13.924,-15632,-428,0.0247,0.2074,0.2321,0.1827,,,
8.7079,88,1,1,0,0.0657,0.0657,159,4,0,-21.107,-14940,-1788,0.025,0.2074,0.2324,0.1824,,,
8.8099,89,1,1,0,0.0576,0.0576,158,4,0,-19.871,-12608,-1512,0.0219,0.2077,0.2296,0.1859,,,
8.9069,90,1,1,0,0.057,0.057,158,4,0,-12.375,-14928,-120,0.0203,0.2079,0.2281,0.1876,,,
9.0066,91,1,1,0,0.0492,0.0492,157,4,0,-15.489,-11736,124,0.0194,0.208,0.2273,0.1886,,,
9.1059,92,1,1,0,0.0498,0.0498,157,4,0,-9.153,-16712,-436,0.0177,0.2081,0.2258,0.1905,,,
9.2109,93,1,1,0,0.0606,0.0606,159,4,0,-18.695,-12260,112,0.0158,0.2083,0.2241,0.1926,,,
9.3069,94,1,1,0,0.0668,0.0668,160,4,0,-13.886,-9172,-1020,0.0211,0.2078,0.2289,0.1866,,,
9.4088,95,1,1,0,0.0653,0.0653,159,4,0,-19.1,-13136,-116,0.0228,0.2076,0.2304,0.1848,,,
9.509,96,1,1,0,0.0598,0.0598,158,4,0,-12.558,-14728,88,0.0233,0.2075,0.2309,0.1842,,,
9.6078,97,1,1,0,0.0454,0.0454,156,4,0,-16.81,-16124,208,0.0202,0.2079,0.2281,0.1877,,,
9.7107,98,1,1,0,0.0307,0.0307,154,4,0,-10.855,-14220,200,0.0158,0.2083,0.2241,0.1926,,,
9.8075,99,1,1,0,0.0133,0.0133,152,4,0,-2.848,-9996,-2732,0.0116,0.2088,0.2204,0.1971,,,
9.9051,100,1,1,0,0.0047,0.0047,150,4,0,-2.817,-15996,-3088,0.0047,0.2095,0.2142,0.2048,,,
10.0126,101,1,1,0,-0.0046,-0.0046,149,4,0,-8.077,-18080,1120,0.0001,0.21,0.2101,0.2099,,,
10.1077,102,1,1,0,-0.0122,-0.0122,148,4,0,-2.718,-14732,2712,-0.0024,0.2097,0.2073,0.2122,,,
10.2066,103,1,1,0,-0.0102,-0.0102,148,4,0,1.885,-12976,2076,-0.0045,0.2095,0.2051,0.214,,,
10.3094,104,1,1,0,-0.0077,-0.0077,148,4,0,1.435,-11996,-1000,-0.0038,0.2096,0.2058,0.2134,,,
10.4054,105,1,1,0,-0.0036,-0.0036,149,4,0,13.709,-9576,-9884,-0.0,0.21,0.21,0.21,,,
10.5071,106,1,1,0,-0.0087,-0.0087,148,4,0,-3.588,-16132,-1944,-0.0022,0.2098,0.2075,0.212,,,
10.6101,107,1,1,0,-0.0067,-0.0067,149,4,0,8.488,-14760,-1484,-0.0016,0.2098,0.2083,0.2114,,,
10.7068,108,1,1,0,-0.0057,-0.0057,149,4,0,-2.107,-12140,968,-0.0031,0.2097,0.2065,0.2128,,,
10.8096,109,1,1,0,0.0,0.0,150,4,0,4.877,-13536,-544,-0.0012,0.2099,0.2087,0.2111,,,
10.9088,110,1,1,0,-0.001,-0.001,149,4,0,0.259,-16124,-4,0.0001,0.21,0.2101,0.2099,,,
11.0097,111,1,1,0,0.0031,0.0031,150,4,0,2.61,-15852,-2056,0.0002,0.21,0.2102,0.2098,,,
11.1069,112,1,1,0,0.0,0.0,150,4,0,-2.764,-13716,48,0.0006,0.2099,0.2106,0.2093,,,
11.2082,113,1,1,0,-0.0067,-0.0067,149,4,0,-2.741,-12952,64,-0.0006,0.2099,0.2093,0.2105,,,
11.307,114,1,1,0,-0.0102,-0.0102,148,4,0,10.519,-12992,-2860,-0.0003,0.21,0.2096,0.2103,,,
11.4073,115,1,1,0,-0.0143,-0.0143,147,4,0,5.221,-13324,-1540,-0.0029,0.2097,0.2068,0.2126,,,
11.511,116,1,1,0,-0.0077,-0.0077,148,4,0,9.099,-11720,-236,-0.0037,0.2096,0.2059,0.2133,,,
11.6078,117,1,1,0,-0.0067,-0.0067,149,4,0,-1.145,-13416,48,-0.0033,0.2097,0.2063,0.213,,,
11.7082,118,1,1,0,-0.0026,-0.0026,149,4,0,4.16,-15992,-1932,-0.0017,0.2098,0.2081,0.2116,,,
11.8079,119,1,1,0,0.0026,0.0026,150,4,0,6.244,-13696,-1416,0.0004,0.21,0.2103,0.2096,,,
11.9073,120,1,1,0,0.0036,0.0036,150,4,0,-2.222,-12984,1724,0.0005,0.2099,0.2105,0.2094,,,
12.0131,121,1,1,0,0.0036,0.0036,150,4,0,-7.336,-14020,-1380,-0.0002,0.21,0.2098,0.2102,,,
12.1079,122,1,1,0,0.0,0.0,150,4,0,-0.565,-13620,436,0.0013,0.2099,0.2112,0.2086,,,
12.2083,123,1,1,0,0.0,0.0,150,4,0,-2.718,-15832,-2720,-0.0006,0.2099,0.2093,0.2105,,,
12.3075,124,1,1,0,0.0,0.0,150,4,0,-4.825,-13616,-1860,-0.0011,0.2099,0.2088,0.211,,,
12.4083,125,1,1,0,0.0,0.0,150,4,0,2.16,-13408,908,0.0005,0.2099,0.2104,0.2095,,,
12.5083,126,1,1,0,-0.0067,-0.0067,149,4,0,-8.535,-12412,-5732,-0.0019,0.2098,0.2079,0.2117,,,
12.6091,127,1,1,0,-0.0133,-0.0133,148,4,0,3.198,-11600,-1760,-0.002,0.2098,0.2078,0.2118,,,
12.7085,128,1,1,0,-0.0133,-0.0133,148,4,0,8.74,-13400,-304,-0.0034,0.2096,0.2063,0.213,,,
12.8087,129,1,1,0,-0.0067,-0.0067,149,4,0,-0.97,-13396,1136,-0.0055,0.2094,0.2039,0.215,,,
12.9068,130,1,1,0,-0.0108,-0.0108,148,4,0,1.076,-11796,-516,-0.0024,0.2097,0.2073,0.2122,,,
13.0068,131,1,1,0,-0.0057,-0.0057,149,4,0,-2.535,-11980,-1556,-0.0049,0.2095,0.2046,0.2144,,,
13.1094,132,1,1,0,-0.0001,-0.0001,149,4,0,5.496,-9940,-3972,-0.001,0.2099,0.2088,0.2109,,,
13.2079,133,1,1,0,0.0066,0.0066,150,4,0,-3.283,-9664,104,-0.0008,0.2099,0.2091,0.2107,,,
13.3126,134,1,1,0,0.0056,0.0056,150,4,0,-5.901,-11344,-760,0.0013,0.2099,0.2112,0.2086,,,
13.4062,135,1,1,0,0.0087,0.0087,151,4,0,4.053,-10532,-1360,0.0031,0.2097,0.2128,0.2065,,,
13.5081,136,1,1,0,0.0097,0.0097,151,4,0,-7.062,-16352,-844,0.0021,0.2098,0.2119,0.2077,,,
13.6059,137,1,1,0,0.0132,0.0132,151,4,0,-0.665,-13396,-856,0.0037,0.2096,0.2133,0.2059,,,
13.7103,138,1,1,0,0.0122,0.0122,151,4,0,-3.107,-13368,1052,0.0046,0.2095,0.2141,0.2049,,,
13.8111,139,1,1,0,0.0086,0.0086,151,4,0,-8.367,-14636,-220,0.003,0.2097,0.2127,0.2067,,,
13.9079,140,1,1,0,0.0152,0.0152,152,4,0,3.534,-12464,128,0.0042,0.2096,0.2138,0.2054,,,
14.0076,141,1,1,0,0.0121,0.0121,151,4,0,-1.222,-9932,-3012,0.0058,0.2094,0.2152,0.2036,,,
14.1095,142,1,1,0,0.0182,0.0182,152,4,0,-4.039,-11968,-1020,0.0039,0.2096,0.2135,0.2056,,,
14.2072,143,1,1,0,0.0181,0.0181,152,4,0,-10.062,-12696,496,0.0051,0.2095,0.2145,0.2044,,,
14.3071,144,1,1,0,0.0333,0.0333,155,4,0,1.809,-14156,2260,0.0076,0.2092,0.2168,0.2016,,,
14.4122,145,1,1,0,0.0496,0.0496,157,4,0,-8.313,-13792,-5392,0.0115,0.2088,0.2203,0.1973,,,
14.505,146,1,1,0,0.0638,0.0638,159,4,0,-6.0,-12996,-1392,0.0185,0.2081,0.2265,0.1896,,,
14.6111,147,1,1,0,0.075,0.075,161,4,0,-16.413,-10636,-980,0.0219,0.2077,0.2296,0.1858,,,
14.7113,148,1,1,0,0.0796,0.0796,161,4,0,-10.703,-12700,4732,0.0276,0.2071,0.2347,0.1795,,,
14.8099,149,1,1,0,0.0881,0.0881,163,4,0,-12.71,-13288,-2072,0.029,0.207,0.236,0.178,,,
14.9085,150,1,1,0,0.0967,0.0967,164,4,0,-18.955,-10064,-1388,0.031,0.2067,0.2378,0.1757,,,
15.01,151,1,1,0,0.1079,0.1079,166,4,0,-24.871,-15316,3316,0.0331,0.2065,0.2397,0.1734,,,
15.1086,152,1,1,0,0.1198,0.1198,167,4,0,-24.42,-10616,-3076,0.0377,0.206,0.2438,0.1683,,,
15.2098,153,1,1,0,0.1153,0.1153,167,4,0,-32.13,-10632,-2328,0.0408,0.2057,0.2465,0.1649,,,
15.3058,154,1,1,0,0.0974,0.0974,164,4,0,-27.413,-14928,-2280,0.04,0.2058,0.2458,0.1658,,,
15.408,155,1,1,0,0.0719,0.0719,160,4,0,-31.756,-7832,-188,0.0319,0.2066,0.2386,0.1747,,,
15.5082,156,1,1,0,0.0472,0.0472,157,4,0,-16.604,-16028,-452,0.0251,0.2074,0.2324,0.1823,,,
15.6091,157,1,1,0,0.0498,0.0498,157,4,0,-13.298,-13704,2804,0.0159,0.2083,0.2243,0.1924,,,
15.7063,158,1,1,0,0.0743,0.0743,161,4,0,-5.611,-16404,308,0.0187,0.208,0.2267,0.1894,,,
15.8058,159,1,1,0,0.1118,0.1118,166,4,0,-12.97,-14756,-468,0.0269,0.2072,0.234,0.1803,,,
15.9075,160,1,1,0,0.1383,0.1383,170,4,0,-18.207,-12816,-1460,0.0407,0.2057,0.2464,0.1651,,,
16.0079,161,1,1,0,0.144,0.144,171,4,0,-24.978,-12284,-712,0.0498,0.2048,0.2546,0.155,,,
16.1102,162,1,1,0,0.1204,0.1204,168,4,0,-31.199,-13112,-1224,0.0507,0.2047,0.2553,0.154,,,
16.2086,163,1,1,0,0.0974,0.0974,164,4,0,-29.978,-12376,-5608,0.0401,0.2058,0.2459,0.1657,,,
16.309,164,1,1,0,0.0764,0.0764,161,4,0,-27.214,-11840,-2100,0.0329,0.2065,0.2395,0.1736,,,
16.4098,165,1,1,0,0.0677,0.0677,160,4,0,-18.123,-12672,-2948,0.0266,0.2072,0.2338,0.1807,,,
16.5071,166,1,1,0,0.083,0.083,162,4,0,-14.168,-11976,-1800,0.0239,0.2075,0.2314,0.1836,,,
16.6067,167,1,1,0,0.1066,0.1066,165,4,0,-12.833,-12812,-1408,0.0303,0.2068,0.2372,0.1765,,,
16.707,168,1,1,0,0.1127,0.1127,166,4,0,-22.924,-13744,136,0.0375,0.2061,0.2436,0.1685,,,
16.8083,169,1,1,0,0.1034,0.1034,165,4,0,-28.115,-10584,-1268,0.0388,0.2059,0.2447,0.1671,,,
16.9091,170,1,1,0,0.0887,0.0887,163,4,0,-20.207,-11004,4048,0.0369,0.2061,0.243,0.1692,,,
17.0071,171,1,1,0,0.0877,0.0877,163,4,0,-22.229,-12708,-332,0.0305,0.2068,0.2373,0.1763,,,
17.1085,172,1,1,0,0.0871,0.0871,163,4,0,-12.283,-13588,-3480,0.0323,0.2066,0.2389,0.1743,,,
17.2102,173,1,1,0,0.088,0.088,163,4,0,-23.199,-13964,-336,0.0297,0.2069,0.2366,0.1772,,,
17.3075,174,1,1,0,0.091,0.091,163,4,0,-14.497,-13744,284,0.032,0.2066,0.2386,0.1747,,,
17.4203,175,1,1,0,0.0951,0.0951,164,4,0,-15.527,-15016,-4300,0.0329,0.2065,0.2395,0.1736,,,
17.507,176,1,1,0,0.1019,0.1019,165,4,0,-16.764,-13376,-4488,0.0343,0.2064,0.2407,0.1721,,,
17.6085,177,1,1,0,0.0973,0.0973,164,4,0,-18.787,-11408,-884,0.0366,0.2062,0.2427,0.1696,,,
17.7086,178,1,1,0,0.0943,0.0943,164,4,0,-19.894,-12168,-1400,0.0345,0.2064,0.2409,0.1719,,,
17.8082,179,1,1,0,0.0939,0.0939,164,4,0,-17.023,-12680,204,0.034,0.2064,0.2404,0.1725,,,
17.9058,180,1,1,0,0.0971,0.0971,164,4,0,-18.604,-9448,-1004,0.0334,0.2065,0.2399,0.1731,,,
18.0103,181,1,1,0,0.1049,0.1049,165,4,0,-19.565,-15604,96,0.0345,0.2064,0.2409,0.1719,,,
18.1071,182,1,1,0,0.0983,0.0983,164,4,0,-27.405,-13264,-2852,0.0359,0.2062,0.2421,0.1704,,,
18.2071,183,1,1,0,0.0773,0.0773,161,4,0,-20.848,-15672,-3120,0.0347,0.2064,0.2411,0.1717,,,
18.3108,184,1,1,0,0.0631,0.0631,159,4,0,-14.604,-11780,-856,0.0277,0.2071,0.2348,0.1794,,,
18.4075,185,1,1,0,0.0456,0.0456,156,4,0,-15.497,-12116,1664,0.0218,0.2077,0.2295,0.1859,,,
18.5077,186,1,1,0,0.015,0.015,152,4,0,-17.054,-13584,-260,0.0144,0.2085,0.2229,0.1941,,,
18.6084,187,1,1,0,-0.0144,-0.0144,147,4,0,-10.229,-16920,-188,0.0037,0.2096,0.2133,0.2059,,,
18.7068,188,1,1,0,-0.038,-0.038,144,4,0,0.839,-12192,284,-0.0056,0.2094,0.2038,0.215,,,
18.813,189,1,1,0,-0.0198,-0.0198,147,4,0,7.473,-11116,-1632,-0.0135,0.2086,0.195,0.2221,,,
18.9093,190,1,1,0,0.1936,0.1936,179,4,0,14.412,-13768,-2160,-0.0036,0.2096,0.206,0.2132,,,
19.0111,191,1,1,0,0.1522,0.1522,172,4,0,-19.71,-13316,804,0.073,0.2023,0.2754,0.1293,,,
19.1091,192,1,1,0,0.2596,0.2596,188,4,0,-39.329,-15236,-2300,0.0521,0.2045,0.2567,0.1524,,,
19.207,193,1,1,0,0.0856,0.0856,162,4,0,-49.771,-11452,384,0.0928,0.2003,0.293,0.1075,,,
19.3093,194,1,1,0,0.0048,0.0048,150,4,0,-36.848,-14232,3344,0.026,0.2073,0.2333,0.1812,,,
19.4065,195,1,1,0,-0.0459,-0.0459,143,4,0,-4.581,-11320,-1168,0.0009,0.2099,0.2108,0.209,,,
19.509,196,1,1,0,-0.0664,-0.0664,140,4,0,7.847,-11992,-1700,-0.0166,0.2083,0.1916,0.2249,,,
19.6083,197,1,1,0,-0.0644,-0.0644,140,4,0,13.045,-15320,-3468,-0.0237,0.2075,0.1838,0.2312,,,
19.7069,198,1,1,0,-0.0476,-0.0476,142,4,0,21.358,-17532,-1208,-0.021,0.2078,0.1868,0.2288,,,
19.8072,199,1,1,0,-0.0369,-0.0369,144,4,0,12.45,-13200,2100,-0.0163,0.2083,0.192,0.2245,,,
19.9071,200,1,1,0,-0.0067,-0.0067,149,4,0,12.709,-14428,-3060,-0.0119,0.2087,0.1968,0.2207,,,
20.0083,201,1,1,0,0.0046,0.0046,150,4,0,6.786,-12324,1384,-0.0012,0.2099,0.2087,0.211,,,
20.111,202,1,1,0,0.0092,0.0092,151,4,0,3.442,-15464,-1520,0.0026,0.2097,0.2123,0.2071,,,
20.2091,203,1,1,0,0.0102,0.0102,151,4,0,-5.474,-12484,-1636,0.0025,0.2097,0.2122,0.2073,,,
20.3079,204,1,1,0,0.0087,0.0087,151,4,0,-1.046,-14136,-1396,0.0039,0.2096,0.2135,0.2057,,,
20.411,205,1,1,0,0.0067,0.0067,151,4,0,-6.726,-13092,-60,0.002,0.2098,0.2118,0.2078,,,
20.5108,206,1,1,0,0.0047,0.0047,150,4,0,-3.344,-12776,-700,0.0019,0.2098,0.2117,0.2079,,,
20.6068,207,1,1,0,0.0037,0.0037,150,4,0,-3.642,-17536,-3120,0.0011,0.2099,0.2109,0.2088,,,
20.7091,208,1,1,0,0.0011,0.0011,150,4,0,-8.825,-12220,300,-0.0005,0.2099,0.2095,0.2104,,,
20.8065,209,1,1,0,-0.0046,-0.0046,149,4,0,-7.138,-11912,1284,-0.0011,0.2099,0.2087,0.211,,,
20.9099,210,1,1,0,-0.0046,-0.0046,149,4,0,-1.901,-14196,-1484,-0.0022,0.2098,0.2075,0.212,,,
21.0077,211,1,1,0,-0.0122,-0.0122,148,4,0,4.702,-12904,312,-0.0008,0.2099,0.2091,0.2107,,,
21.1096,212,1,1,0,-0.0122,-0.0122,148,4,0,6.656,-10844,-3320,-0.0034,0.2096,0.2062,0.2131,,,
21.2071,213,1,1,0,-0.0189,-0.0189,147,4,0,-5.756,-14440,1440,-0.0062,0.2094,0.2032,0.2155,,,
21.3078,214,1,1,0,-0.0169,-0.0169,147,4,0,-1.138,-11280,-3476,-0.0078,0.2092,0.2014,0.217,,,
