t_sec,frame_idx,imu_enabled,drive_enabled,learn_enabled,error,deriv,lane_center_x,rows_seen,line_lost,gyro_z,accel_x,accel_y,steer,speed,lm,rm,learner_state,learner_action,reward
0.0302,1,1,1,0,-0.0863,-0.0863,137,4,0,31.855,-10268,-2528,-0.0263,0.2072,0.1809,0.2336,,,
0.1095,2,1,1,0,-0.1019,-0.1019,134,4,0,9.534,-14824,-3872,-0.0324,0.2066,0.1742,0.239,,,
0.208,3,1,1,0,-0.104,-0.104,134,4,0,30.389,-17288,-2696,-0.034,0.2064,0.1724,0.2404,,,
0.3083,4,1,1,0,-0.0964,-0.0964,135,4,0,21.58,-10564,-124,-0.0368,0.2061,0.1693,0.2429,,,
0.4109,5,1,1,0,-0.0909,-0.0909,136,4,0,15.282,-13280,672,-0.0352,0.2063,0.1711,0.2415,,,
0.5068,6,1,1,0,-0.0812,-0.0812,137,4,0,8.137,-12476,-668,-0.0345,0.2064,0.1718,0.2409,,,
0.6084,7,1,1,0,-0.0557,-0.0557,141,4,0,24.076,-13840,1848,-0.0271,0.2072,0.18,0.2343,,,
0.7075,8,1,1,0,-0.0322,-0.0322,145,4,0,11.435,-10844,-2092,-0.0197,0.2079,0.1882,0.2277,,,
0.809,9,1,1,0,-0.0112,-0.0112,148,4,0,4.816,-12948,-2276,-0.0118,0.2088,0.1969,0.2206,,,
0.9103,10,1,1,0,0.0047,0.0047,150,4,0,8.618,-15808,-2716,-0.0026,0.2097,0.2072,0.2123,,,
1.0173,11,1,1,0,0.0098,0.0098,151,4,0,-9.443,-14356,-1908,-0.0002,0.21,0.2097,0.2102,,,
1.107,12,1,1,0,0.0021,0.0021,150,4,0,-2.604,-13556,-1908,0.0033,0.2097,0.213,0.2063,,,
1.2103,13,1,1,0,-0.0087,-0.0087,148,4,0,-5.481,-12776,-3760,-0.0008,0.2099,0.2091,0.2107,,,
1.3091,14,1,1,0,-0.0179,-0.0179,147,4,0,0.435,-15792,-232,-0.0034,0.2096,0.2063,0.213,,,
1.4098,15,1,1,0,-0.0179,-0.0179,147,4,0,9.038,-12564,-2680,-0.0051,0.2095,0.2043,0.2146,,,
1.5085,16,1,1,0,-0.0163,-0.0163,147,4,0,4.45,-15832,-968,-0.0062,0.2094,0.2032,0.2155,,,
1.6089,17,1,1,0,-0.0153,-0.0153,147,4,0,3.381,-9676,-368,-0.0058,0.2094,0.2036,0.2152,,,
1.7086,18,1,1,0,-0.0169,-0.0169,147,4,0,-2.207,-11144,-1436,-0.0066,0.2093,0.2027,0.2159,,,
1.8082,19,1,1,0,-0.0077,-0.0077,148,4,0,4.038,-16588,-960,-0.0059,0.2094,0.2035,0.2152,,,
1.9071,20,1,1,0,-0.0118,-0.0118,148,4,0,2.763,-11208,-3336,-0.0025,0.2097,0.2073,0.2122,,,
